player_id,year,prev_fip,prev_era,prev_whip,prev_kbb,prev_ip_total
10058,2024,3.3748538011695906,3.5789473684210527,1.3391812865497077,2.7708333333333335,171.0
10058,2025,3.9054474708171205,4.097276264591439,1.254863813229572,3.1463414634146343,171.33333333333334
10058,2026,3.812418300653595,5.0588235294117645,1.4901960784313726,1.912280701754386,153.0
10126,2024,3.7831683168316834,3.5287128712871283,1.384158415841584,1.7,168.33333333333334
10126,2025,4.473716632443532,4.9342915811088295,1.4476386036960984,2.1095890410958904,162.33333333333334
10126,2026,3.3986111111111112,5.0,1.4861111111111112,2.76,144.0
10131,2024,5.022077922077922,5.6103896103896105,1.6363636363636365,0.9818181818181818,77.0
10131,2025,5.629411764705882,7.147058823529412,1.7058823529411764,1.619047619047619,34.0
10131,2026,7.626315789473685,7.105263157894737,1.736842105263158,0.5555555555555556,19.0
10156,2025,,,,,0.0
10217,2026,4.858620689655172,10.241379310344827,2.1724137931034484,1.25,9.666666666666666
10220,2024,4.561139896373057,4.756476683937824,1.3523316062176167,1.25,64.33333333333333
10220,2025,4.566453674121406,5.52076677316294,1.4376996805111821,2.3095238095238093,104.33333333333333
10299,2024,4.083193277310924,5.445378151260504,1.5882352941176472,2.090909090909091,39.666666666666664
10363,2024,3.556953642384106,3.6655629139072845,1.2913907284768211,2.033333333333333,100.66666666666667
10363,2025,4.993333333333333,5.88,1.6533333333333333,2.04,75.0
10363,2026,0.4750000000000001,6.75,1.125,5.0,2.6666666666666665
10367,2024,3.3000000000000003,5.4,1.0,,5.0
10533,2024,3.3916666666666666,4.75,1.1666666666666667,2.6923076923076925,72.0
10533,2025,5.475,7.875,1.8125,1.6666666666666667,16.0
10590,2025,3.0877551020408163,4.13265306122449,1.4020408163265305,3.942857142857143,163.33333333333334
10590,2026,3.0066985645933015,3.229665071770335,1.2129186602870812,4.88,139.33333333333334
10609,2024,3.894701986754967,3.754966887417219,1.2119205298013247,3.875,50.33333333333333
10609,2025,27.1,67.5,10.5,0.0,0.6666666666666666
