game_id,team_code,team_recent30_rbi
20230005,1001,0
20230010,1001,0
20230015,1001,8
20230025,1001,15
20230026,1001,16
20230031,1001,18
20230036,1001,19
20230042,1001,21
20230047,1001,25
20230052,1001,25
20230060,1001,36
20230065,1001,45
20230070,1001,49
20230072,1001,58
20230077,1001,62
20230082,1001,71
20230089,1001,72
20230094,1001,76
20230099,1001,78
20230108,1001,81
20230113,1001,82
20230118,1001,89
20230123,1001,99
20230128,1001,102
20230133,1001,103
20230138,1001,95
20230143,1001,96
20230163,1001,99
20230168,1001,105
20230173,1001,106
20230180,1001,102
20230185,1001,106
20230190,1001,99
20230194,1001,90
20230199,1001,83
20230210,1001,83
20230215,1001,78
20230220,1001,80
20230221,1001,76
20230226,1001,77
20230231,1001,82
20230238,1001,84
20230243,1001,84
20230248,1001,79
20230252,1001,72
20230257,1001,73
20230262,1001,76
20230269,1001,78
20230274,1001,85
20230279,1001,77
20230283,1001,82
20230288,1001,91
20230293,1001,91
20230299,1001,84
20230304,1001,84
20230309,1001,92
20230311,1001,90
20230316,1001,87
20230321,1001,89
20230328,1001,90
20230333,1001,92
20230338,1001,97
20230344,1001,97
20230349,1001,97
20230354,1001,97
20230358,1001,94
20230363,1001,89
20230368,1001,96
20230375,1001,98
20230380,1001,95
20230389,1001,99
20230394,1001,97
20230399,1001,99
20230405,1001,87
20230410,1001,85
20230415,1001,89
20230425,1001,81
20230430,1001,88
20230439,1001,80
20230444,1001,82
20230448,1001,59
20230453,1001,61
20230458,1001,65
20230464,1001,63
20230469,1001,63
20230474,1001,70
20230477,1001,73
20230482,1001,72
20230487,1001,79
20230494,1001,82
20230499,1001,88
20230504,1001,95
20230507,1001,99
20230512,1001,100
20230517,1001,104
20230521,1001,100
20230526,1001,94
20230537,1001,99
20230542,1001,102
20230547,1001,100
20230552,1001,100
20230557,1001,105
20230562,1001,108
20230570,1001,112
20230575,1001,124
20230580,1001,129
20230585,1001,128
20230597,1001,120
20230602,1001,117
20230607,1001,117
20230623,1001,104
20230629,1001,99
20230634,1001,92
20230639,1001,86
20230644,1001,82
20230649,1001,81
20230654,1001,88
20230656,1001,88
20230661,1001,90
20230863,1001,90
20230666,1001,94
20230869,1001,90
20230875,1001,100
20230881,1001,105
20230889,1001,99
20230979,1001,86
20230905,1001,81
20230909,1001,78
20230927,1001,62
20231007,1001,62
20230929,1001,72
20230938,1001,83
20230943,1001,83
20230947,1001,87
20230944,1001,87
20230951,1001,102
20230956,1001,100
20230960,1001,106
20230986,1001,106
20230969,1001,104
20230971,1001,98
20230974,1001,95
20231020,1001,85
20231023,1001,80
20240003,1001,0
20240008,1001,6
20240011,1001,17
20240016,1001,20
20240021,1001,22
20240029,1001,23
20240034,1001,27
20240039,1001,32
20240045,1001,35
20240055,1001,38
20240058,1001,39
20240063,1001,41
20240068,1001,48
20240074,1001,55
20240079,1001,63
20240084,1001,72
20240090,1001,76
20240095,1001,79
20240100,1001,82
20240104,1001,94
20240109,1001,101
20240114,1001,110
20240118,1001,115
20240123,1001,116
20240128,1001,117
20240134,1001,116
20240139,1001,112
20240144,1001,118
20240147,1001,117
20240152,1001,118
20240157,1001,126
20240161,1001,128
20240166,1001,125
20240171,1001,134
20240179,1001,135
20240184,1001,142
20240199,1001,127
20240204,1001,128
20240210,1001,124
20240215,1001,118
20240220,1001,117
20240222,1001,118
20240232,1001,108
20240239,1001,109
20240244,1001,106
20240249,1001,110
20240254,1001,110
20240259,1001,110
20240264,1001,113
20240270,1001,108
20240275,1001,113
20240280,1001,117
20240284,1001,106
20240289,1001,97
20240294,1001,102
20240298,1001,105
20240303,1001,104
20240308,1001,106
20240312,1001,98
20240317,1001,101
20240322,1001,103
20240327,1001,103
20240332,1001,107
20240337,1001,106
20240343,1001,107
20240348,1001,103
20240353,1001,107
20240360,1001,111
20240365,1001,118
20240370,1001,114
20240374,1001,103
20240379,1001,104
20240384,1001,116
20240389,1001,115
20240399,1001,117
20241409,1001,117
20240401,1001,116
20240406,1001,115
20240411,1001,116
20240417,1001,116
20240427,1001,112
20241418,1001,112
20240434,1001,101
20240439,1001,104
20240444,1001,108
20240455,1001,91
20240460,1001,106
20240461,1001,109
20240466,1001,113
20240471,1001,110
20240483,1001,101
20240488,1001,106
20240495,1001,107
20240500,1001,101
20240505,1001,114
20240508,1001,113
20240513,1001,102
20240524,1001,104
20240529,1001,104
20240534,1001,105
20240536,1001,103
20240541,1001,107
20240546,1001,112
20240553,1001,115
20240558,1001,114
20240563,1001,123
20240568,1001,131
20240573,1001,136
20240578,1001,146
20240585,1001,150
20240595,1001,136
20240599,1001,130
20240604,1001,131
20240609,1001,133
20240615,1001,136
20240620,1001,138
20240625,1001,139
20240629,1001,121
20240634,1001,118
20240644,1001,115
20240649,1001,118
20240654,1001,120
20240657,1001,126
20240662,1001,125
20240667,1001,134
20241428,1001,123
20241431,1001,129
20241433,1001,119
20241526,1001,116
20241446,1001,118
20241450,1001,114
20241454,1001,111
20241464,1001,108
20241467,1001,117
20241472,1001,115
20241476,1001,121
20241482,1001,118
20241487,1001,117
20241492,1001,124
20241506,1001,124
20241508,1001,128
20241511,1001,129
20241532,1001,120
20241522,1001,116
20250003,1001,0
20250008,1001,13
20250014,1001,23
20250019,1001,36
20250024,1001,42
20250026,1001,44
20250031,1001,44
20250036,1001,53
20250049,1001,56
20250054,1001,60
20250059,1001,61
20250064,1001,66
20250069,1001,72
20250073,1001,82
20250078,1001,89
20250083,1001,90
20250088,1001,93
20250098,1001,95
20250101,1001,97
20250106,1001,97
20250111,1001,99
20250118,1001,105
20250123,1001,106
20250128,1001,116
20250138,1001,96
20250143,1001,103
20250148,1001,105
20250153,1001,108
20250158,1001,115
20250162,1001,114
20250167,1001,113
20250172,1001,119
20250178,1001,120
20250183,1001,122
20250188,1001,122
20250195,1001,122
20250200,1001,117
20250205,1001,108
20250213,1001,106
20250791,1001,106
20250218,1001,107
20250223,1001,109
20250228,1001,111
20250233,1001,113
20250242,1001,123
20250802,1001,123
20250247,1001,128
20250255,1001,120
20250260,1001,123
20250265,1001,129
20250268,1001,131
20250273,1001,130
20250278,1001,122
20250283,1001,107
20250293,1001,103
20250296,1001,110
20250301,1001,108
20250307,1001,111
20250312,1001,110
20250317,1001,109
20250322,1001,109
20250327,1001,111
20250332,1001,111
20250338,1001,118
20250343,1001,115
20250348,1001,117
20250353,1001,120
20250363,1001,116
20250368,1001,107
20250373,1001,99
20250378,1001,108
20250383,1001,114
20250388,1001,116
20250398,1001,109
20250407,1001,99
20250412,1001,104
20250420,1001,101
20250425,1001,104
20250426,1001,95
20250431,1001,93
20250436,1001,91
20250441,1001,91
20250447,1001,92
20250452,1001,95
20250458,1001,99
20250464,1001,88
20250469,1001,96
20250474,1001,96
20250493,1001,58
20250497,1001,72
20250502,1001,73
20250507,1001,80
20250514,1001,81
20250519,1001,81
20250524,1001,90
20250530,1001,90
20250535,1001,93
20250540,1001,93
20250542,1001,90
20250547,1001,92
20250553,1001,89
20250557,1001,80
20250562,1001,84
20250567,1001,88
20250573,1001,85
20250578,1001,92
20250584,1001,88
20250588,1001,90
20250593,1001,91
20250598,1001,92
20250603,1001,96
20250608,1001,104
20250614,1001,108
20250617,1001,116
20250622,1001,106
20250627,1001,110
20250632,1001,108
20250637,1001,109
20250642,1001,120
20250646,1001,112
20250651,1001,115
20250656,1001,129
20250665,1001,126
20250670,1001,130
20250675,1001,133
20250865,1001,132
20250872,1001,129
20250877,1001,133
20250880,1001,131
20250887,1001,125
20250892,1001,125
20250899,1001,127
20250904,1001,126
20250908,1001,120
20250919,1001,118
20250923,1001,118
20250929,1001,127
20250933,1001,110
20250974,1001,109
20250966,1001,118
20250944,1001,123
20250949,1001,111
20250955,1001,107
20250993,1001,104
20230003,2002,0
20230008,2002,1
20230028,2002,9
20230033,2002,10
20230038,2002,17
20230043,2002,17
20230048,2002,21
20230053,2002,23
20230057,2002,23
20230062,2002,25
20230067,2002,26
20230075,2002,26
20230080,2002,30
20230085,2002,36
20230089,2002,39
20230094,2002,44
20230099,2002,50
20230104,2002,55
20230109,2002,55
20230114,2002,61
20230116,2002,66
20230121,2002,69
20230126,2002,72
20230134,2002,81
20230139,2002,77
20230164,2002,77
20230169,2002,80
20230174,2002,83
20230176,2002,82
20230181,2002,81
20230186,2002,82
20230194,2002,83
20230199,2002,91
20230208,2002,94
20230213,2002,98
20230218,2002,98
20230224,2002,87
20230229,2002,87
20230234,2002,91
20230239,2002,94
20230244,2002,90
20230249,2002,91
20230254,2002,86
20230259,2002,82
20230270,2002,85
20230275,2002,79
20230280,2002,84
20230284,2002,90
20230289,2002,91
20230294,2002,99
20230296,2002,99
20230301,2002,103
20230306,2002,105
20230312,2002,105
20230317,2002,101
20230322,2002,102
20230330,2002,102
20230335,2002,107
20230340,2002,113
20230343,2002,106
20230348,2002,112
20230353,2002,115
20230359,2002,110
20230364,2002,109
20230374,2002,101
20230379,2002,101
20230386,2002,100
20230391,2002,97
20230396,2002,102
20230408,2002,90
20230413,2002,106
20230417,2002,112
20230422,2002,110
20230427,2002,114
20230439,2002,105
20230444,2002,107
20230449,2002,69
20230465,2002,62
20230470,2002,65
20230475,2002,76
20230479,2002,75
20230484,2002,76
20230489,2002,79
20230494,2002,76
20230499,2002,86
20230504,2002,91
20230508,2002,102
20230513,2002,94
20230518,2002,96
20230530,2002,81
20230540,2002,83
20230545,2002,82
20230550,2002,93
20230553,2002,94
20230558,2002,100
20230563,2002,109
20230570,2002,117
20230575,2002,119
20230580,2002,125
20230584,2002,127
20230594,2002,131
20230598,2002,134
20230603,2002,126
20230608,2002,138
20230625,2002,128
20230628,2002,127
20230633,2002,132
20230638,2002,133
20230646,2002,121
20230651,2002,128
20230659,2002,128
20230664,2002,128
20230865,2002,128
20230669,2002,144
20230869,2002,139
20230872,2002,146
20230879,2002,141
20230890,2002,129
20230998,2002,130
20230895,2002,128
20230904,2002,127
20230910,2002,131
20230913,2002,133
20230917,2002,128
20230922,2002,114
20230924,2002,113
20230928,2002,113
20230932,2002,117
20230934,2002,120
20230937,2002,132
20230940,2002,125
20230950,2002,108
20230952,2002,103
20230955,2002,103
20230959,2002,114
20230961,2002,117
20230969,2002,113
20230971,2002,113
20230976,2002,100
20231012,2002,96
20231015,2002,105
20231016,2002,103
20231026,2002,98
20231029,2002,102
20240004,2002,0
20240014,2002,7
20240019,2002,9
20240026,2002,16
20240031,2002,20
20240036,2002,20
20240043,2002,29
20240048,2002,35
20240053,2002,40
20240058,2002,46
20240063,2002,51
20240068,2002,55
20240073,2002,57
20240078,2002,64
20240083,2002,68
20240089,2002,76
20240094,2002,84
20240099,2002,95
20240103,2002,99
20240108,2002,103
20240113,2002,114
20240119,2002,119
20240124,2002,121
20240129,2002,129
20240132,2002,126
20240137,2002,131
20240142,2002,137
20240146,2002,148
20240151,2002,146
20240156,2002,149
20240163,2002,153
20240168,2002,148
20240173,2002,157
20240180,2002,156
20240185,2002,153
20240199,2002,146
20240204,2002,150
20240208,2002,144
20240218,2002,134
20241405,2002,134
20240225,2002,124
20240230,2002,125
20240235,2002,132
20240240,2002,134
20240245,2002,130
20240250,2002,131
20240255,2002,123
20240260,2002,120
20240265,2002,122
20240269,2002,123
20240274,2002,122
20240279,2002,114
20240285,2002,111
20240290,2002,114
20240295,2002,120
20240299,2002,127
20240304,2002,123
20240309,2002,122
20240314,2002,112
20240319,2002,112
20240324,2002,114
20240326,2002,119
20240331,2002,120
20240336,2002,126
20240342,2002,132
20240347,2002,128
20240352,2002,141
20240358,2002,137
20240363,2002,141
20240368,2002,137
20240375,2002,127
20240380,2002,134
20240385,2002,139
20240390,2002,144
20240400,2002,144
20241408,2002,144
20240405,2002,146
20240410,2002,154
20240415,2002,157
20240418,2002,148
20240434,2002,127
20240439,2002,134
20240444,2002,140
20240446,2002,129
20240451,2002,132
20240456,2002,136
20240463,2002,135
20240468,2002,128
20240473,2002,135
20240483,2002,131
20240488,2002,141
20240494,2002,140
20240499,2002,142
20240504,2002,143
20240509,2002,142
20240514,2002,138
20240519,2002,143
20240522,2002,134
20240527,2002,135
20240532,2002,138
20240540,2002,137
20240545,2002,144
20240550,2002,150
20240552,2002,141
20240557,2002,138
20240569,2002,137
20240574,2002,139
20240579,2002,141
20240585,2002,130
20240595,2002,131
20240597,2002,121
20240602,2002,111
20240607,2002,112
20240611,2002,124
20240616,2002,117
20240621,2002,122
20240635,2002,105
20240640,2002,110
20240645,2002,108
20240650,2002,107
20240655,2002,105
20240658,2002,98
20240663,2002,104
20240668,2002,111
20241428,2002,102
20241431,2002,117
