game_id,date,year,home_team,away_team,target_home_win,sp_weighted_fip_diff,sp_weighted_era_diff,sp_weighted_whip_diff,sp_weighted_kbb_diff,sp_rest_days_diff,cur_ip_real_sum_diff,bullpen_era_weighted_diff,bullpen_whip_weighted_diff,bullpen_kbb_weighted_diff,bullpen_ops_weighted_diff,team_avg_weighted_diff,team_ops_weighted_diff,team_isop_weighted_diff,team_bb_k_weighted_diff,home_lineup_ops,home_lineup_isop,away_lineup_ops,away_lineup_isop,home_battery_games,home_battery_era,home_battery_synergy,away_battery_games,away_battery_era,away_battery_synergy,home_order_fit_ops,home_order_fit_isop,away_order_fit_ops,away_order_fit_isop,home_pos_fit_ops,home_pos_fit_isop,away_pos_fit_ops,away_pos_fit_isop,vs_team_winrate_diff,park_winrate_diff,lineup_ops_diff,lineup_isop_diff,battery_games_diff,battery_synergy_diff,order_fit_ops_diff,order_fit_isop_diff,pos_fit_ops_diff,pos_fit_isop_diff
20230001,2023-04-01,2023,6002,3001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454,1.1064,6.454,1.1064,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20230002,2023-04-01,2023,10001,7002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454,1.1064,6.454,1.1064,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20230003,2023-04-01,2023,9002,2002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454,1.1064,6.454,1.1064,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20230004,2023-04-01,2023,12001,5002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454,1.1064,6.454,1.1064,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20230005,2023-04-01,2023,1001,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.454,1.1064,6.454,1.1064,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
20230006,2023-04-02,2023,6002,3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.685714285714286,0.0,-0.8333333333333334,-40.0,0.0179171332586786,0.0772930876514303,0.0940649496080626,-0.6666666666666667,7.026441738816739,1.3341197691197693,7.007107794486216,1.2818301549327868,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.019333944330522712,0.052289614186982414,0,0.0,0.0,0.0,0.0,0.0
20230007,2023-04-02,2023,10001,7002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2857142857142858,-0.2857142857142858,-3.0,-28.571428571428584,0.0698717948717949,0.1006499597963012,0.0,-0.0714285714285714,6.791894198394199,1.2278644133644137,6.65249376114082,1.2017682709447417,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.13940043725337858,0.026096142419671953,0,0.0,0.0,0.0,0.0,0.0
20230008,2023-04-02,2023,9002,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.75,-2.75,1.75,-275.0,0.0478309232480534,0.2254104732413965,0.1034482758620689,1.2857142857142856,6.927354335511983,1.3282145131556895,6.642028813290134,1.2009221142240012,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.28532552222184915,0.1272923989316883,0,0.0,0.0,0.0,0.0,0.0
20230009,2023-04-02,2023,12001,5002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875,0.708333333333333,-0.25,70.83333333333337,0.1227799227799228,0.3522497772497772,0.1621621621621621,-0.3,7.052379901579902,1.423850815850816,6.73380365317422,1.2186823361823365,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.318576248405682,0.20516847966847962,0,0.0,0.0,0.0,0.0,0.0
20230010,2023-04-02,2023,1001,11001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.25,0.5,150.0,-0.2045633359559402,-0.3720493131412934,-0.073170731707317,0.4126984126984128,6.728843447609652,1.240272947753525,6.986817508417508,1.3086397306397308,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.25797406080785645,-0.06836678288620579,0,0.0,0.0,0.0,0.0,0.0
