date,game_id,status,game_time,Stadium_code,away_team,home_team,away_sp_id,home_sp_id,away_sp_name,home_sp_name,away_score,home_score,weather_code,temperature,humidity,wind_direction,wind_speed,rain_probability,leagueType,season,target_home_win,is_draw
2023-04-11,20230045,3,18:30:00,8005,12001,11001,15542,13085,슐서,신민혁,0.0,1.0,10400,18.3,76,21500,1.0,,10100,2023,1.0,0
2023-04-12,20230047,3,18:30:00,7003,9002,1001,10783,10363,문승원,백정현,3.0,0.0,10400,18.6,12,21300,4.1,,10100,2023,0.0,0
2023-04-12,20230048,3,18:30:00,6001,7002,2002,15013,15533,문동주,앤더슨,0.0,2.0,10100,16.2,5,20100,1.5,,10100,2023,1.0,0
2023-04-12,20230049,3,18:30:00,8001,5002,3001,14780,11310,강효종,박세웅,12.0,8.0,10400,15.1,37,20900,3.0,,10100,2023,0.0,0
2023-04-12,20230050,3,18:30:00,8005,12001,11001,11308,14763,고영표,이용준,1.0,5.0,10100,16.0,33,20900,1.0,,10100,2023,1.0,0
2023-04-13,20230051,3,18:30:00,1001,10001,6002,13091,14769,안우진,김동주,9.0,2.0,10400,17.3,14,21500,2.4,,10100,2023,0.0,0
2023-04-13,20230052,3,18:30:00,7003,9002,1001,10131,13157,박종훈,양창섭,9.0,11.0,10100,23.9,12,21300,2.5,,10100,2023,1.0,0
2023-04-13,20230053,3,18:30:00,6001,7002,2002,10610,14788,장민재,이의리,5.0,1.0,10100,22.0,21,21100,2.1,,10100,2023,0.0,0
2023-04-13,20230054,3,18:30:00,8001,5002,3001,13934,10863,켈리,한현희,7.0,8.0,10100,17.7,34,20900,1.8,,10100,2023,1.0,0
2023-04-13,20230055,3,18:30:00,8005,12001,11001,11284,15535,조이현,페디,10.0,3.0,10100,18.1,36,20900,2.8,,10100,2023,0.0,0
2023-04-14,20230056,3,18:30:00,1001,6002,5002,13941,14588,알칸타라,김윤식,4.0,13.0,10400,19.5,58,21300,1.6,,10100,2023,1.0,0
2023-04-14,20230057,3,18:30:00,1003,2002,10001,15534,13940,메디나,요키시,2.0,9.0,10400,19.5,58,21500,2.8,,10100,2023,1.0,0
2023-04-14,20230058,3,18:30:00,2001,11001,9002,14155,15462,송명기,송영진,1.0,2.0,10400,18.7,55,21500,3.3,,10100,2023,1.0,0
2023-04-14,20230059,3,18:30:00,2002,7002,12001,11410,15143,김민우,벤자민,7.0,7.0,10400,19.7,44,21300,3.6,,10100,2023,0.5,1
2023-04-14,20230060,3,18:30:00,7003,3001,1001,14627,14617,스트레일리,뷰캐넌,7.0,9.0,10400,19.1,62,21100,1.1,,10100,2023,1.0,0
2023-04-15,20230061,3,17:00:00,1001,6002,5002,13061,15003,곽빈,플럿코,1.0,3.0,10100,16.3,66,21300,1.7,,10100,2023,1.0,0
2023-04-15,20230062,3,17:00:00,1003,2002,10001,15432,15531,윤영철,후라도,1.0,6.0,10100,12.6,80,20900,2.8,,10100,2023,1.0,0
2023-04-15,20230063,3,17:00:00,2001,11001,9002,11353,15528,구창모,맥카티,1.0,0.0,10400,13.2,78,20700,3.0,,10100,2023,0.0,0
2023-04-15,20230064,3,17:00:00,2002,7002,12001,15146,11394,페냐,배제성,7.0,2.0,10400,14.0,76,21300,1.7,,10100,2023,0.0,0
2023-04-15,20230065,3,17:00:00,7003,3001,1001,12930,15001,나균안,수아레즈,9.0,5.0,10500,13.6,65,21300,3.2,,10100,2023,0.0,0
2023-04-16,20230066,3,14:00:00,1001,6002,5002,14770,10652,최승용,임찬규,10.0,5.0,10400,14.4,62,21500,2.3,,10100,2023,0.0,0
2023-04-16,20230067,3,14:00:00,1003,2002,10001,10058,11379,양현종,최원태,0.0,2.0,10400,14.4,62,20500,1.5,,10100,2023,1.0,0
2023-04-16,20230068,3,14:00:00,2001,11001,9002,13085,14581,신민혁,오원석,10.0,5.0,10100,14.1,54,21300,1.4,,10100,2023,0.0,0
2023-04-16,20230069,3,14:00:00,2002,7002,12001,14619,15542,남지민,슐서,2.0,14.0,10400,14.0,61,21300,3.4,,10100,2023,1.0,0
2023-04-16,20230070,3,14:00:00,7003,3001,1001,15011,14113,반즈,원태인,1.0,9.0,10400,16.7,28,21300,1.3,,10100,2023,1.0,0
2023-04-18,20230071,3,18:30:00,1001,11001,5002,14763,14780,이용준,강효종,6.0,4.0,10100,17.6,63,20900,1.6,,10100,2023,0.0,0
2023-04-18,20230072,3,18:30:00,1003,1001,10001,10363,14784,백정현,장재영,6.0,4.0,10100,18.2,68,20700,2.5,,10100,2023,0.0,0
2023-04-18,20230073,3,18:30:00,2002,9002,12001,10783,11308,문승원,고영표,2.0,4.0,10100,17.5,71,20500,1.4,,10100,2023,1.0,0
2023-04-18,20230074,3,18:30:00,4001,6002,7002,12852,15013,최원준,문동주,2.0,0.0,10400,13.8,92,21500,1.3,,10100,2023,0.0,0
2023-04-18,20230075,3,18:30:00,8001,2002,3001,15533,11310,앤더슨,박세웅,5.0,7.0,10400,18.3,92,21100,5.7,,10100,2023,1.0,0
2023-04-19,20230076,3,18:30:00,1001,11001,5002,15535,13934,페디,켈리,5.0,7.0,10100,25.6,41,21300,1.8,,10100,2023,1.0,0
2023-04-19,20230077,3,18:30:00,1003,1001,10001,14799,13091,이재희,안우진,9.0,5.0,10100,25.6,41,20900,3.9,,10100,2023,0.0,0
2023-04-19,20230078,3,18:30:00,2002,9002,12001,10131,11318,박종훈,엄상백,2.0,5.0,10100,20.5,55,21300,5.0,,10100,2023,1.0,0
2023-04-19,20230079,3,18:30:00,4001,6002,7002,14769,10610,김동주,장민재,6.0,7.0,10100,24.0,63,20700,1.0,,10100,2023,1.0,0
2023-04-19,20230080,3,18:30:00,8001,2002,3001,14788,10863,이의리,한현희,6.0,0.0,10400,16.6,91,20300,1.4,,10100,2023,0.0,0
2023-04-20,20230081,3,18:30:00,1001,11001,5002,14155,14588,송명기,김윤식,4.0,9.0,10400,16.9,77,21500,1.3,,10100,2023,1.0,0
2023-04-20,20230082,3,18:30:00,1003,1001,10001,14617,13940,뷰캐넌,요키시,1.0,6.0,10400,16.0,90,21500,1.0,,10100,2023,1.0,0
2023-04-20,20230083,3,18:30:00,2002,9002,12001,15462,15143,송영진,벤자민,8.0,5.0,10100,16.7,84,21300,2.7,,10100,2023,0.0,0
2023-04-20,20230084,3,18:30:00,4001,6002,7002,13941,11410,알칸타라,김민우,5.0,1.0,10100,24.5,47,21100,1.8,,10100,2023,0.0,0
2023-04-20,20230085,3,18:30:00,8001,2002,3001,15534,14627,메디나,스트레일리,3.0,5.0,10100,23.3,50,20900,2.0,,10100,2023,1.0,0
2023-04-21,20230086,3,18:30:00,1001,12001,6002,11394,13061,배제성,곽빈,6.0,10.0,10100,20.8,20,21500,2.3,,10100,2023,1.0,0
2023-04-21,20230087,3,18:30:00,2001,10001,9002,15531,10126,후라도,김광현,1.0,3.0,10400,18.7,17,21500,2.4,,10100,2023,1.0,0
2023-04-21,20230088,3,18:30:00,4001,5002,7002,15003,15146,플럿코,페냐,4.0,2.0,10100,21.6,47,20100,2.3,,10100,2023,0.0,0
2023-04-21,20230089,3,18:30:00,6001,1001,2002,11404,15432,장필준,윤영철,4.0,5.0,10100,20.1,58,21500,1.8,,10100,2023,1.0,0
2023-04-21,20230090,3,18:30:00,8005,3001,11001,12930,11353,나균안,구창모,3.0,2.0,10400,18.2,43,20500,3.3,,10100,2023,0.0,0
2023-04-22,20230091,3,17:00:00,1001,12001,6002,15542,14770,슐서,최승용,1.0,5.0,10100,21.7,13,20500,2.0,,10100,2023,1.0,0
2023-04-22,20230092,3,17:00:00,2001,10001,9002,11379,15528,최원태,맥카티,2.0,3.0,10400,21.2,11,20100,2.5,,10100,2023,1.0,0
2023-04-22,20230093,3,17:00:00,4001,5002,7002,10652,14619,임찬규,남지민,3.0,0.0,10400,20.0,21,20700,4.6,,10100,2023,0.0,0
2023-04-22,20230094,3,17:00:00,6001,1001,2002,14113,10058,원태인,양현종,2.0,6.0,10100,21.3,34,21500,2.6,,10100,2023,1.0,0
2023-04-22,20230095,3,17:00:00,8005,3001,11001,15011,13085,반즈,신민혁,10.0,6.0,10100,17.3,27,20300,2.4,,10100,2023,0.0,0
2023-04-23,20230096,3,14:00:00,1001,12001,6002,11308,12852,고영표,최원준,1.0,1.0,10100,22.0,20,20300,2.4,,10100,2023,0.5,1
2023-04-23,20230097,3,14:00:00,2001,10001,9002,12865,14581,이승호,오원석,7.0,9.0,10100,20.5,27,21300,1.6,,10100,2023,1.0,0
2023-04-23,20230098,3,14:00:00,4001,5002,7002,14780,10609,강효종,이태양,6.0,7.0,10400,20.2,23,20700,1.3,,10100,2023,1.0,0
2023-04-23,20230099,3,14:00:00,6001,1001,2002,10363,15533,백정현,앤더슨,3.0,5.0,10400,19.0,32,21500,1.8,,10100,2023,1.0,0
2023-04-23,20230100,3,14:00:00,8005,3001,11001,11310,14763,박세웅,이용준,5.0,3.0,10400,17.5,37,20900,1.1,,10100,2023,0.0,0
2023-04-25,20230101,3,18:30:00,1001,9002,5002,10783,13934,문승원,켈리,4.0,5.0,10500,11.0,77,20700,1.3,,10100,2023,1.0,0
2023-04-25,20230102,3,18:30:00,1003,12001,10001,11318,13091,엄상백,안우진,0.0,1.0,10400,11.0,77,21100,1.6,,10100,2023,1.0,0
