game_id,team_code,team_order_fit_ops_score,team_order_fit_isop_score
20230001,3001,0.0,0.0
20230001,6002,0.0,0.0
20230002,10001,0.0,0.0
20230002,7002,0.0,0.0
20230003,2002,0.0,0.0
20230003,9002,0.0,0.0
20230004,12001,0.0,0.0
20230004,5002,0.0,0.0
20230005,1001,0.0,0.0
20230005,11001,0.0,0.0
20230006,3001,0.0,0.0
20230006,6002,0.0,0.0
20230007,10001,0.0,0.0
20230007,7002,0.0,0.0
20230008,2002,0.0,0.0
20230008,9002,0.0,0.0
20230009,12001,0.0,0.0
20230009,5002,0.0,0.0
20230010,1001,0.0,0.0
20230010,11001,0.0,0.0
20230011,11001,0.0,0.0
20230011,6002,0.0,0.0
20230012,10001,0.0,0.0
20230012,5002,0.0,0.0
20230013,3001,0.0,0.0
20230013,9002,0.0,0.0
20230014,12001,0.0,0.0
20230014,2002,0.0,0.0
20230015,1001,0.0,0.0
20230015,7002,0.0,0.0
20230016,11001,0.0,0.0
20230016,6002,0.0,0.0
20230017,10001,0.0,0.0
20230017,5002,0.0,0.0
20230021,11001,0.0,0.0
20230021,6002,0.0,0.0
20230022,10001,0.0,0.0
20230022,5002,0.0,0.0
20230023,3001,0.0,0.0
20230023,9002,0.0,0.0
20230024,12001,0.0,0.0
20230024,2002,0.0,0.0
20230025,1001,0.0,0.0
20230025,7002,0.0,0.0
20230026,1001,0.0,0.0
20230026,5002,0.0035180000000000025,0.0008444444444444443
20230027,7002,0.0,0.0
20230027,9002,0.0,0.0
20230028,2002,0.0,0.0
20230028,6002,0.0,0.0
20230029,12001,0.0,0.0
20230029,3001,0.0,0.0
20230030,10001,0.0,0.0
20230030,11001,0.0006613333333333332,0.0014
20230031,1001,0.0,0.0
20230031,5002,0.004784666666666673,0.0006962962962962964
20230032,7002,0.0,0.0
20230032,9002,0.0,0.0
20230033,2002,0.0,0.0
20230033,6002,0.0,0.0
20230034,12001,0.0,0.0
20230034,3001,0.0,0.0
20230035,10001,-0.018048333333333336,-0.004193333333333333
20230035,11001,-0.0028432592592592567,0.002496296296296297
20230036,1001,-0.007398148148148148,0.0
20230036,5002,-0.013424719576719576,0.0005058201058201069
20230037,7002,0.0,0.0
20230037,9002,0.0,0.0
20230038,2002,0.0,0.0
20230038,6002,-0.021896719576719577,-0.008253968253968255
20230039,12001,0.0,0.0
20230039,3001,-0.005556666666666669,-0.004
20230040,10001,-0.016548190476190477,-0.003361142857142856
20230040,11001,0.0025449735449735427,0.001306878306878307
20230041,10001,0.0050962698412698485,0.0010778968253968256
20230041,6002,-0.022181058201058198,-0.008186984126984128
20230042,1001,-0.01535714285714286,-0.0015857142857142854
20230042,9002,0.009696370370370367,0.001168
20230043,2002,0.0,0.0
20230043,7002,0.0044174603174603165,0.0
20230044,3001,-0.006099703703703707,-0.004222222222222222
20230044,5002,-0.027231600529100543,-0.0058326455026455025
20230045,11001,-0.01904570899470899,0.0010013227513227501
20230045,12001,0.0,0.0
20230047,1001,0.018107222222222222,0.007222222222222223
20230047,9002,0.0013639999999999963,0.0009517037037037041
20230048,2002,-0.0009716666666666697,0.002990740740740741
20230048,7002,0.019985000000000003,0.003333333333333333
20230049,3001,0.005494708994708991,-0.0005714285714285715
20230049,5002,-0.029232208994709005,-0.0043915696649029995
20230050,11001,-0.021659007936507928,-0.0005800264550264564
20230050,12001,0.0,0.0
20230051,10001,0.004911957671957668,0.0009612698412698412
20230051,6002,-0.023176190476190472,-0.008517777777777777
20230052,1001,-0.009649724867724871,0.0024405379188712547
20230052,9002,0.012569693121693117,0.002136719576719578
20230053,2002,-0.003506370370370367,0.0018666666666666684
20230053,7002,0.010384962962962962,0.0
20230054,3001,-0.007648888888888887,-0.004666666666666667
20230054,5002,-0.02730690035273368,-0.0023017601410934754
20230055,11001,-0.02010879276895943,0.0022563492063492037
20230055,12001,-0.0008904761904761896,-0.0019047619047619041
20230056,5002,-0.012071922558922551,-0.004006015712682381
20230056,6002,-0.022526987654320988,-0.008666666666666668
20230057,10001,-0.019112592592592594,0.0013009259259259252
20230057,2002,0.0027990978835978897,-0.003128703703703704
20230058,11001,-0.021859319865319866,0.0012960942760942788
