game_id,team_code,lineup_weighted_ops,lineup_weighted_isop
20230001,3001,6.454,1.1064
20230001,6002,6.454,1.1064
20230002,7002,6.454,1.1064
20230002,10001,6.454,1.1064
20230003,2002,6.454,1.1064
20230003,9002,6.454,1.1064
20230004,5002,6.454,1.1064
20230004,12001,6.454,1.1064
20230005,1001,6.454,1.1064
20230005,11001,6.454,1.1064
20230006,3001,7.007107794486216,1.2818301549327868
20230006,6002,7.026441738816739,1.3341197691197693
20230007,7002,6.65249376114082,1.2017682709447417
20230007,10001,6.791894198394199,1.2278644133644137
20230008,2002,6.642028813290134,1.2009221142240012
20230008,9002,6.927354335511983,1.3282145131556897
20230009,5002,6.73380365317422,1.2186823361823365
20230009,12001,7.052379901579902,1.423850815850816
20230010,1001,6.728843447609652,1.240272947753525
20230010,11001,6.986817508417508,1.3086397306397308
20230011,6002,6.888713228506346,1.2857099124818296
20230011,11001,7.096840707188779,1.3799005844535361
20230012,5002,6.928517905024316,1.1888432070300137
20230012,10001,6.991440280803358,1.2795218709597436
20230013,3001,6.706368870001222,1.2305345506991947
20230013,9002,6.9264037469497355,1.3912577191976447
20230014,2002,6.454,1.1064
20230014,12001,6.454,1.1064
20230015,1001,6.937799147039013,1.280768128002471
20230015,7002,6.839211365706398,1.2705104960195552
20230016,6002,6.804463067329017,1.243123255354708
20230016,11001,6.825277231282267,1.3075453089176647
20230017,5002,6.962362950113215,1.1456234173682869
20230017,10001,6.927444486776952,1.2337499111428236
20230021,6002,6.863428015826471,1.2424300625077558
20230021,11001,6.46464797528992,1.1231867615280697
20230022,5002,6.8123434447420195,1.1009918144165205
20230022,10001,6.747410820038337,1.1752180476651788
20230023,3001,6.454,1.1064
20230023,9002,6.454,1.1064
20230024,2002,6.454,1.1064
20230024,12001,6.454,1.1064
20230025,1001,6.9621296702329225,1.3276028560836604
20230025,7002,6.7880889323791616,1.2643075462813997
20230026,1001,6.641642003152079,1.1652119447232963
20230026,5002,6.824084489205434,1.1086892964327
20230027,7002,6.85821460033769,1.2618169806274713
20230027,9002,6.988216255660671,1.3497462649581669
20230028,2002,6.918923070676064,1.2775498583539342
20230028,6002,6.828710376246155,1.2174389550281268
20230029,3001,6.561806402232271,1.1908997773650618
20230029,12001,7.1237550947077715,1.4324621072584403
20230030,10001,6.4097847182751355,1.1149390068819958
20230030,11001,6.464022114421707,1.0720714410653966
20230031,1001,6.775075623995222,1.3424185021999038
20230031,5002,6.836935720129336,1.0791806872296892
20230032,7002,6.771086230086682,1.1996565988370906
20230032,9002,7.044608115932029,1.3652348199715685
20230033,2002,6.828293269128402,1.2410717399904665
20230033,6002,6.765302143110301,1.1767557150451888
20230034,3001,6.432141359506629,1.1789763305967764
20230034,12001,7.1288415857499725,1.3729314146277858
20230035,10001,6.466771976349415,1.0813072240673636
20230035,11001,6.464139687803836,1.112722546223434
20230036,1001,6.800034677762292,1.295943857041851
20230036,5002,6.623421708467528,0.9884037135234612
20230037,7002,6.786048022560534,1.2656284604999757
20230037,9002,7.115468220791919,1.3523063027830753
20230038,2002,6.880010273224043,1.270321247983046
20230038,6002,6.979322750683998,1.331797137526135
20230039,3001,6.499885088549688,1.1585322579737354
20230039,12001,7.242590526494102,1.455506902912255
20230040,10001,6.467131705459324,1.0707464713736514
20230040,11001,6.90333363021608,1.2611761138854711
20230041,6002,6.948905253140088,1.295436069883708
20230041,10001,6.370099406780142,1.1038546840924701
20230042,1001,6.666525606811246,1.2895794839413615
20230042,9002,6.972784741888423,1.3117090426378761
20230043,2002,6.72490722754182,1.164115894044713
20230043,7002,6.583772475091102,1.204161751860685
20230044,3001,6.582992771706772,1.126468489065605
20230044,5002,6.818188980358405,0.9893354486622237
20230045,11001,6.910875184249813,1.1989149761775364
20230045,12001,7.108129248115208,1.4064307590336127
20230047,1001,6.653807509736877,1.2709180104968874
20230047,9002,7.087978951735848,1.3057867352979486
20230048,2002,6.700513111089291,1.1966595733629424
20230048,7002,6.628190359351212,1.2801224753882392
20230049,3001,6.415001072481108,1.1196489695608687
20230049,5002,6.898586603885658,1.0039154561398447
20230050,11001,6.753318680442219,1.1442034308274631
20230050,12001,7.02999328537808,1.379051122384637
20230051,6002,6.889164525297292,1.2512901833395271
20230051,10001,6.352357893648358,1.1079267665634358
20230052,1001,6.428156366943728,1.1472882392786299
20230052,9002,6.9471835794867385,1.307335116006536
20230053,2002,6.546763379764236,1.1771161124394394
20230053,7002,6.503607329051919,1.182597000660932
20230054,3001,6.503166450522118,1.1269227124469043
20230054,5002,7.0088387870573845,1.0416086732914083
20230055,11001,6.851781577975339,1.2541045150449894
20230055,12001,7.114623159863611,1.337316857394455
20230056,5002,6.949150646094727,1.0602973016185502
20230056,6002,6.848844215941294,1.247758475825417
20230057,2002,6.542139518450424,1.0967951924998842
20230057,10001,6.5897016711044065,1.133895077075573
20230058,9002,7.093846084459333,1.3101706174176997
20230058,11001,6.8867335695904695,1.234633685814381
20230059,7002,6.381943126833396,1.1085761468387916
20230059,12001,6.96535598485647,1.288651510497243
20230060,1001,6.831337753322258,1.3691424166085566
20230060,3001,6.595901779428681,1.0822184342927526
20230061,5002,7.233722479050832,1.147701101767852
20230061,6002,6.793157423426102,1.1642858765828707
20230062,2002,6.4730508378310425,1.0606879881367766
20230062,10001,6.727123363722582,1.1281056305099186
20230063,9002,6.931141416448629,1.248961869092733
20230063,11001,6.843335501573846,1.239745192138793
20230064,7002,6.541551235063162,1.1941437805658532
20230064,12001,7.095441223004214,1.3005715621684433
20230065,1001,6.915710058062572,1.417312713176768
20230065,3001,6.56274378433724,1.0972118993908084
20230066,5002,7.175666701442108,1.127511920947846
20230066,6002,6.6537333252917605,1.164439632105017
20230067,2002,6.476320952292646,1.0374872899970438
20230067,10001,6.534029756224038,1.1083411863155699
20230068,9002,6.9598371158953825,1.2895109910270957
20230068,11001,6.495754260164934,1.156435673955527
20230069,7002,6.418736352459309,1.1179890528255787
20230069,12001,7.048640915189439,1.3097881967366125
20230070,1001,6.831117954908732,1.3096078988992734
20230070,3001,6.689892012992182,1.0472319800034195
20230071,5002,7.12589025965947,1.163548188704147
20230071,11001,6.465677159216397,1.1672692306391055
20230072,1001,6.822222591253854,1.3086133279295191
20230072,10001,6.688557322366,1.208431182772498
20230073,9002,6.7402997767109225,1.2463710788273918
20230073,12001,7.166474153604941,1.3094097082223768
20230074,6002,6.52693687957001,1.1258723925693213
20230074,7002,6.474640323033183,1.116280955356243
20230075,2002,6.290521317303471,0.9879428527788565
20230075,3001,6.492035034691727,1.025795938068319
20230076,5002,7.071851201993191,1.1753084464156878
20230076,11001,6.535215680912574,1.1418583034091696
20230077,1001,6.735769667024901,1.1886329890236527
20230077,10001,6.738130465542418,1.182679922134656
20230078,9002,6.7803479913559235,1.217226038559766
20230078,12001,6.916553853367285,1.237801239369243
20230079,6002,6.443475885468234,1.0754766970902394
20230079,7002,6.482076879195819,1.0792027761768852
20230080,2002,6.323734479231985,0.9712537661874273
20230080,3001,6.573151124347516,1.083872662387594
20230081,5002,6.91243759674216,1.1605822375567814
20230081,11001,6.610929889653176,1.2168837035140567
20230082,1001,6.860034737161195,1.2655996967598075
20230082,10001,6.651738833427674,1.1958586728496257
20230083,9002,6.7873934668234925,1.212907372331778
20230083,12001,7.228997950061357,1.3073360240328893
20230084,6002,6.444982622309923,1.1481924226090507
20230084,7002,6.194941811975536,1.032293812457381
20230085,2002,6.3594845639945214,0.9790525812934909
20230085,3001,6.595429186659372,1.0655642882321836
20230086,6002,6.68899386959455,1.2490404752863673
20230086,12001,7.128616036702685,1.264960812416609
20230087,9002,6.673928909571944,1.1725032226635452
20230087,10001,6.878870411735426,1.2989075174923714
20230088,5002,7.235443496368901,1.215296167422175
20230088,7002,6.619274298533569,1.1531565690861874
20230089,1001,6.9446540542893125,1.2518020818910514
20230089,2002,6.388748912713478,1.017665340551218
20230090,3001,6.497765127345653,1.092695498133883
20230090,11001,6.685441253347164,1.206589397373915
20230091,6002,6.923742144461713,1.32430422048632
20230091,12001,7.066599331808831,1.272879713244192
20230092,9002,6.633080662697865,1.161441709177529
20230092,10001,6.738668822529525,1.282783969250008
20230093,5002,7.1404267260694905,1.215641472412185
20230093,7002,6.44801487346184,1.0987082757495221
20230094,1001,6.866542292533188,1.187513961202194
20230094,2002,6.433125883101064,0.9543678722392492
20230095,3001,6.720865342342359,1.077261435492921
20230095,11001,6.592883012092294,1.1751312337711717
20230096,6002,6.994003289696767,1.3667868887654109
20230096,12001,6.850004645572923,1.1674745302763652
20230097,9002,6.79014423098286,1.2285238993366483
20230097,10001,6.395703993260282,1.162516180566257
20230098,5002,7.112862048268964,1.175752323276196
20230098,7002,6.398948943702647,1.0598011954227315
20230099,1001,6.81601766233585,1.1609250285945287
20230099,2002,6.319359024372674,0.9404557937159436
20230100,3001,6.686506045301149,1.1291661796414363
20230100,11001,6.579104458512344,1.1539926346351275
20230101,5002,7.01434621128503,1.1919808768680058
20230101,9002,6.823770697695668,1.27842225302631
20230102,10001,6.464893108203854,1.0944543585594981
20230102,12001,6.871545086709829,1.182427944636227
20230104,2002,6.590944602151036,1.0218431837600346
20230104,11001,6.848810475254067,1.2647085630186983
20230106,5002,6.989017068921795,1.168044085513877
20230106,9002,6.985298562979407,1.2637269166436143
20230107,10001,6.630112054590072,1.1563190051657202
20230107,12001,6.862190087452644,1.1720671701477836
20230108,1001,6.849592106728405,1.1665069565751487
20230108,6002,6.730738483851217,1.2569161601702943
20230109,2002,6.437634092308393,1.0742959140171697
20230109,11001,6.820472661203219,1.1626922886865971
20230110,3001,6.781847729901646,1.1359142458483558
20230110,7002,6.4473324377084555,1.048810931147953
20230111,5002,7.006714282311503,1.19177115147644
20230111,9002,6.958398781363603,1.274147229080335
20230112,10001,6.99233104812568,1.1937758026665752
20230112,12001,6.468780670873966,1.1537086004412398
20230113,1001,6.61885092581539,1.197103909188368
20230113,6002,6.761859579431656,1.2634323903252025
20230114,2002,6.329950633252061,1.0676165334703254
20230114,11001,6.697175307445926,1.1131786704884221
20230115,3001,6.842895178257758,1.1439783351658557
20230115,7002,6.462438455008226,1.064618453914493
20230116,2002,6.320004741090499,0.912138050005905
20230116,5002,7.307183555496055,1.201420680093085
20230117,6002,6.549677997882766,1.157461351805037
20230117,9002,6.8352674397927835,1.2268661437586432
20230118,1001,6.684227630646215,1.2579988262356085
20230118,12001,6.562971724934289,1.0885579768289235
20230119,7002,6.376116765759854,0.9941253396466136
20230119,11001,6.726536387439459,1.1515041280825038
20230120,3001,6.676734037977608,1.140689009891576
20230120,10001,6.69734183457369,1.0883306512300532
20230121,2002,6.248369109034055,0.890339212426789
20230121,5002,7.289555436759719,1.2102507667892075
20230122,6002,6.769898320335715,1.2673025287634592
20230122,9002,6.711665698089572,1.3270068183929253
20230123,1001,6.70835748730819,1.2549222485357165
20230123,12001,6.538441745158536,1.1524506614655838
20230124,7002,6.538453765101552,1.1490879093979516
20230124,11001,6.711134028495457,1.2079517739195933
20230126,2002,6.283492941137947,0.8986580758760577
20230126,5002,7.254552901485511,1.1446970938153167
20230127,6002,6.782163716151407,1.24728500672757
20230127,9002,6.688273337047836,1.2531840053064807
20230128,1001,6.651699802199362,1.2525967120535997
20230128,12001,6.670101004828825,1.2230307263988711
20230129,7002,6.560873126598032,1.1406916950804669
20230129,11001,6.745299155291779,1.1507768586965013
20230130,3001,6.445279034095794,1.0863205859247103
20230130,10001,6.680172654214408,1.0276104104856432
20230131,6002,6.634840140190506,1.1720476500660646
20230131,7002,6.301148621833623,1.06516489956907
20230132,9002,6.440107753115381,1.179442697382402
20230132,12001,6.662701158272405,1.117225727643491
20230133,1001,6.648573632397742,1.2585685451286373
20230133,10001,7.003442160606388,1.1612382629884868
20230134,2002,6.330984225496339,0.9190429207485429
20230134,3001,6.517394737569213,1.0760259585975134
20230135,5002,7.309616581727245,1.131240338334616
20230135,11001,6.781049907791098,1.099318342818803
20230136,6002,6.631793642666655,1.263297956486954
20230136,7002,6.0801141923810125,0.844749487806834
20230137,9002,6.567884692972732,1.2109737860648353
20230137,12001,6.410532069648428,1.0417010169727758
20230138,1001,6.366807517627647,1.067851393269804
20230138,10001,6.978903105337893,1.2445917503407122
20230139,2002,6.391318239264039,0.9825290315862941
20230139,3001,6.421395328183863,1.0628373554048087
20230140,5002,7.300155011569296,1.1165248733757054
20230140,11001,6.681487801147407,1.018334291229214
