game_id,player_id,team_code,vs_team,game_date,G,GS,IP,R,ER,TBF,H,HR,BB,SO,NP,ERA,WHIP,OPS,IP_real,is_starter_actual,role_game
20240375,10058,2002,5002,06-18,1,1,5.0,3,3,22,7,0,2,2,73,5.4,1.8,0.859,5.0,1,starter
20240444,10058,2002,1001,07-04,1,1,5.0,3,3,20,5,2,1,5,96,5.4,1.2,0.879,5.0,1,starter
20240451,10058,2002,5002,07-10,1,1,5.0,1,1,20,6,1,0,3,87,1.8,1.2,0.8,5.0,1,starter
20240483,10058,2002,1001,07-17,1,1,4.2,5,5,23,7,0,3,4,87,9.64,2.14,0.985,4.666666666666667,1,starter
20240509,10058,2002,11001,07-23,1,1,9.0,1,1,30,4,1,0,6,95,1.0,0.44,0.4,9.0,1,starter
20240532,10058,2002,10001,07-28,1,1,6.0,3,0,25,4,0,1,3,99,0.0,0.83,0.492,6.0,1,starter
20240557,10058,2002,7002,08-03,1,1,6.0,3,2,27,7,1,1,7,100,3.0,1.33,0.681,6.0,1,starter
20240585,10058,2002,1001,08-09,1,1,4.2,4,4,25,7,0,2,3,98,7.71,1.93,0.821,4.666666666666667,1,starter
20240607,10058,2002,10001,08-15,1,1,7.0,1,1,28,4,1,3,4,95,1.29,1.0,0.69,7.0,1,starter
20240635,10058,2002,3001,08-21,1,1,5.0,4,4,23,7,2,1,7,69,7.2,1.6,0.984,5.0,1,starter
20240658,10058,2002,9002,08-27,1,1,5.0,4,4,23,7,1,3,3,92,7.2,2.0,0.935,5.0,1,starter
20241434,10058,2002,5002,09-03,1,1,6.0,3,3,26,6,2,2,4,97,4.5,1.33,0.891,6.0,1,starter
20241455,10058,2002,10001,09-08,1,1,7.0,1,1,25,2,0,1,10,83,1.29,0.43,0.25,7.0,1,starter
20241477,10058,2002,10001,09-15,1,1,4.1,7,5,26,10,1,2,2,82,10.38,2.77,1.129,4.333333333333333,1,starter
20241513,10058,2002,3001,09-25,1,1,5.0,5,5,22,7,0,0,4,66,9.0,1.4,0.773,5.0,1,starter
20250010,10058,2002,11001,03-23,1,1,5.0,4,4,23,6,1,3,5,84,7.2,1.8,1.067,5.0,1,starter
