team_code,year,prev_team_avg,prev_team_ops,prev_team_isop,prev_team_bb_k,prev_team_run_rate
1001,2024,0.2631363729298712,0.6442348360306338,0.05397669188305049,0.5110410094637224,0.11386940097139774
1001,2025,0.26880877742946707,0.7193872625731512,0.1140282131661442,0.46153846153846156,0.13525991792065664
1001,2026,0.2695834925487199,0.7108882343925049,0.09915934275888422,0.5192143467122118,0.13583910319815365
2002,2024,0.2757226601980999,0.6764364805639469,0.06124924196482717,0.5235602094240838,0.12964285714285714
2002,2025,0.3009367681498829,0.7593213027742686,0.09543325526932084,0.5781420765027322,0.14762560220233997
2002,2026,0.2600695154365161,0.6772023506946854,0.08832549580862809,0.4358759430008382,0.11928751349406261
3001,2024,0.2646817248459959,0.6395414187860328,0.042505133470225887,0.5225225225225225,0.11713004484304933
3001,2025,0.2850137308748529,0.7032347611873659,0.07355825814044725,0.4595348837209302,0.13923170519728836
3001,2026,0.26628780190785467,0.6458911009834493,0.045057844530140057,0.515625,0.1188416033904291
5002,2024,0.2795081967213115,0.6895255616492076,0.05717213114754094,0.7251243781094527,0.1348927189588463
5002,2025,0.2810997885022111,0.7071540326144521,0.07037108248413765,0.6376237623762376,0.13917355371900827
5002,2026,0.2778343171178506,0.7102200348850264,0.07938123346224302,0.6190965092402464,0.13810024535576587
6002,2024,0.25568531038721576,0.6416493932102252,0.062077443146896116,0.526207605344296,0.11244835638584516
6002,2025,0.2749304727850616,0.7023558027791883,0.08939213349225267,0.4657534246575342,0.1373061508973689
6002,2026,0.26243429033562476,0.6481067547100772,0.06186817630408409,0.401541095890411,0.11605381165919283
7002,2024,0.24152022885165508,0.6165201634445376,0.061299550469963215,0.45948275862068966,0.10741004631278946
7002,2025,0.2699840127897682,0.6835827355338548,0.07613908872901676,0.49256505576208176,0.1306788282757411
7002,2026,0.2680842607313196,0.6658418125443555,0.07213831478537358,0.42601319509896324,0.125832457062741
9002,2024,0.25911899541558703,0.6628494257677083,0.07713773171217858,0.54630593132154,0.11660285415941525
9002,2025,0.2736188951160929,0.6980438903171866,0.09127301841473179,0.43040293040293043,0.1336405529953917
9002,2026,0.25391339703191707,0.6516835291308489,0.0774547672291116,0.42310960067969416,0.10967510321306767
10001,2024,0.2613591465823785,0.6199591165197518,0.0361517186882655,0.4416058394160584,0.10595217315412812
10001,2025,0.2667483660130719,0.6566206617948532,0.06127450980392157,0.44103992571959144,0.11894432393347795
10001,2026,0.2438528754318228,0.610908861589821,0.06340174761227393,0.3599670510708402,0.1056081573197378
11001,2024,0.2688296639629201,0.6622447270498938,0.06141367323290842,0.4914772727272727,0.12211165457918705
11001,2025,0.27392607392607393,0.7148414197929807,0.10309690309690311,0.4273789649415693,0.13438803894297635
11001,2026,0.260431654676259,0.6672287075522894,0.07954779033915721,0.4652014652014652,0.12995555555555555
12001,2024,0.26474033580632567,0.6525500848143964,0.05622803592346737,0.485972850678733,0.11947739384562489
12001,2025,0.2766679231059178,0.7088987520775518,0.08424425179042594,0.51010101010101,0.12983379957215732
12001,2026,0.2534571723426213,0.645430161195859,0.06439628482972137,0.5316091954022989,0.11596277738010022
