game_id,date,year,home_team,away_team,target_home_win,sp_weighted_fip_diff,sp_weighted_era_diff,sp_weighted_whip_diff,sp_weighted_kbb_diff,sp_rest_days_diff,cur_ip_real_sum_diff,bullpen_era_weighted_diff,bullpen_whip_weighted_diff,bullpen_kbb_weighted_diff,bullpen_ops_weighted_diff,team_avg_weighted_diff,team_hr_weighted_diff
20230001,2023-04-01,2023,6002,3001,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230002,2023-04-01,2023,10001,7002,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230003,2023-04-01,2023,9002,2002,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230004,2023-04-01,2023,12001,5002,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230005,2023-04-01,2023,1001,11001,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20230006,2023-04-02,2023,6002,3001,0.0,,,,,0.0,0.0,-6.685714285714286,0.0,-0.8333333333333334,-40.0,0.017917133258678608,0.0247175141242938
20230007,2023-04-02,2023,10001,7002,1.0,,,,,0.0,0.0,-1.2857142857142858,-0.2857142857142858,-3.0,-28.571428571428584,0.06987179487179493,0.0
20230008,2023-04-02,2023,9002,2002,0.0,,,,,0.0,0.0,-6.75,-2.75,1.75,-275.0,0.04783092324805341,0.0277777777777777
20230009,2023-04-02,2023,12001,5002,0.0,,,,,0.0,0.0,4.875,0.708333333333333,-0.25,70.83333333333337,0.1227799227799228,0.05
20230010,2023-04-02,2023,1001,11001,1.0,,,,,0.0,0.0,9.0,1.25,0.5,150.0,-0.2045633359559402,-0.0227272727272727
20230011,2023-04-04,2023,6002,11001,1.0,,,,,0.0,0.0,1.4025974025974026,0.05681818181818166,-0.9166666666666667,5.681818181818159,-0.08496240601503757,-0.0005949724825227015
20230012,2023-04-04,2023,10001,5002,0.0,,,,,0.0,0.0,-6.1875,-0.9875,-0.4166666666666665,-98.75,-0.025641025641025605,0.0
20230013,2023-04-04,2023,9002,3001,1.0,,,,,0.0,0.0,,,,,-0.03724053724053719,0.028091473743647597
20230015,2023-04-04,2023,1001,7002,1.0,,,,,0.0,0.0,-0.6428571428571432,-1.142857142857143,-1.1666666666666665,-101.7857142857143,0.013431013431013439,0.0135135135135135
20230016,2023-04-05,2023,6002,11001,0.0,,,,,0.0,0.0,-0.35064935064935066,-0.22402597402597402,-0.11111111111111138,-22.402597402597394,-0.03739640185971299,-0.0013994713108381983
20230017,2023-04-05,2023,10001,5002,1.0,,,,,,,-0.875,-0.3527777777777774,-0.9444444444444442,-35.27777777777776,-0.0674884437596302,0.0
20230021,2023-04-06,2023,6002,11001,1.0,,,,,0.0,0.0,-0.2629870129870131,0.006222943722943519,-0.41666666666666674,0.6222943722943768,-0.05502544529262088,0.0003628447024674013
20230022,2023-04-06,2023,10001,5002,0.0,,,,,,,-0.65625,-0.28541666666666665,-1.4444444444444442,-28.541666666666657,-0.04510638297872338,0.0
20230025,2023-04-06,2023,1001,7002,0.0,,,,,0.0,0.0,0.3214285714285712,-0.3452380952380951,-1.6666666666666665,-26.190476190476176,0.01475563909774441,0.028972520908004798
20230026,2023-04-07,2023,5002,1001,1.0,,,,,0.0,5.333333333333333,-0.5625,-0.15261904761904765,1.0555555555555554,-31.333333333333314,0.0461030854289281,-0.0283687943262411
20230027,2023-04-07,2023,7002,9002,0.0,,,,,0.0,0.0,4.258928571428571,0.5371148459383754,2.277777777777777,59.96148459383754,0.014788293897882998,-0.0149058149058149
20230028,2023-04-07,2023,2002,6002,0.0,-3.0,-4.95,-1.3,0.5,0.0,2.666666666666667,2.882142857142857,1.1022727272727273,1.1583333333333334,135.22727272727272,0.05007390983000751,-0.0082253886010362
20230029,2023-04-07,2023,3001,12001,0.0,,,,,0.0,0.0,-3.2192307692307702,-0.7219780219780219,-0.025000000000000022,-58.864468864468876,-0.0948780487804878,-0.0244200244200244
20230030,2023-04-07,2023,11001,10001,1.0,2.4,0.0,0.23333333333333317,-4.0,0.0,-1.0,-1.8167532467532468,-0.017489177489177443,0.8333333333333333,-1.748917748917762,0.06188630490956071,0.0149253731343283
20230031,2023-04-08,2023,5002,1001,1.0,21.0,10.8,4.4,,-1.0,-4.0,-1.5374999999999996,-0.400595238095238,1.402777777777778,-52.91666666666666,0.07850547039283212,-0.0290697674418604
20230032,2023-04-08,2023,7002,9002,0.0,-0.20000000000000018,3.6000000000000005,0.20000000000000018,0.0,-1.0,0.0,4.067142857142858,0.5987114845938377,-0.4166666666666665,64.87114845938379,0.008064516129032306,-0.0155603581352269
20230033,2023-04-08,2023,2002,6002,1.0,2.9714285714285715,-0.771428571428572,1.0857142857142859,,0.0,-2.0,2.764285714285714,1.1005050505050504,0.4500000000000002,126.71717171717171,0.015306122448979581,-0.013138408961458101
20230034,2023-04-08,2023,3001,12001,0.0,2.333333333333333,5.4,1.0666666666666667,,0.0,-1.0,0.09475524475524466,-0.1913475413475414,0.85,-9.134754134754132,-0.11104206797986713,-0.0088888888888889
20230035,2023-04-08,2023,11001,10001,1.0,3.507692307692308,8.861538461538462,0.5076923076923079,,0.0,-0.666666666666667,-3.013961038961039,-0.5145743145743146,0.625,-68.12409812409813,0.057793556489397685,0.0217391304347826
20230036,2023-04-09,2023,5002,1001,1.0,-4.199999999999999,-18.0,-2.466666666666667,0.0,-2.0,2.0,-3.142857142857143,-0.5591269841269841,0.9749999999999999,-66.62698412698413,0.062261268143621096,-0.0240384615384615
20230037,2023-04-09,2023,7002,9002,0.0,0.0,-10.350000000000001,-1.9,1.6666666666666667,-2.0,0.666666666666667,4.414285714285715,0.826493930905696,-0.6833333333333331,86.81605975723623,-0.011595707857390086,-0.0118927125506073
20230038,2023-04-09,2023,2002,6002,0.0,,,,,1.0,-7.0,2.5033163265306118,0.8045995670995669,0.9097222222222223,97.12662337662334,0.028129117259552083,-0.0029505432746347003
20230039,2023-04-09,2023,3001,12001,1.0,,,,,1.0,6.666666666666667,1.5431118881118877,-0.12059940059940066,0.65,2.606726606726596,-0.09935897435897442,-0.012698412698412702
20230040,2023-04-09,2023,11001,10001,1.0,2.549019607843138,-4.5,0.588235294117647,,0.0,-0.33333333333333304,-5.286691879549023,-0.8623091194519764,0.7666666666666666,-105.2785309928167,0.06487433255110028,0.0219899757655871
20230041,2023-04-11,2023,6002,10001,1.0,8.5,41.70000000000001,5.866666666666669,0.0,0.0,-4.333333333333334,-5.260714285714286,-0.6041125541125543,0.6333333333333333,-79.45887445887449,0.01601393959508801,0.0192077085522057
20230042,2023-04-11,2023,1001,9002,0.0,2.057142857142857,4.114285714285715,1.0285714285714287,-2.25,0.0,-2.0,4.617857142857143,0.5956282513005202,-1.5722222222222222,68.74649859943978,-0.017811355311355304,-0.0004114819935479991
20230043,2023-04-11,2023,2002,7002,0.0,,,,,0.0,0.0,-0.21795918367347067,0.36299319727891133,-0.5333333333333334,46.061224489795904,0.0384508990318119,0.0045147555425047
20230044,2023-04-11,2023,3001,5002,1.0,,,,,0.0,0.0,5.591558441558442,0.9077200577200579,-0.708333333333333,102.99422799422798,-0.0490042806625722,0.0131578947368421
20230045,2023-04-11,2023,11001,12001,1.0,,,,,0.0,6.0,-10.658669901527045,-1.9163384234812804,1.5625000000000002,-191.6338423481281,0.009419304719362975,-0.0009694097371821982
20230047,2023-04-12,2023,1001,9002,0.0,,,,,0.0,2.0,3.803571428571429,0.418550753634787,-1.544444444444445,47.46732026143789,-0.026492979191338195,0.003274111047962599
20230048,2023-04-12,2023,2002,7002,1.0,3.1714285714285717,3.2142857142857144,0.8,,-1.0,9.0,-0.8178571428571431,0.2575396825396825,-0.8361111111111108,35.992063492063494,0.03412579424573428,0.0013728285548339023
20230049,2023-04-12,2023,3001,5002,0.0,,,,,,,4.756029684601113,0.8026283240568953,-0.005952380952380931,93.80024737167597,-0.04809437386569873,0.0085885142798227
20230050,2023-04-12,2023,11001,12001,1.0,,,,,1.0,-7.0,-9.325353218210362,-1.578798185941043,1.3625,-157.87981859410434,0.005624382458007171,0.0005703191360271996
20230051,2023-04-13,2023,6002,10001,0.0,0.16666666666666674,-0.6923076923076923,0.564102564102564,-1.0,1.0,-7.0,-5.8392857142857135,-0.5969696969696974,0.6333333333333333,-78.74458874458875,0.0177095885694612,0.014266989312361401
