game_id,home_team,away_team,home_vs_team_winrate,home_park_winrate,away_vs_team_winrate,away_park_winrate,vs_team_winrate_diff,park_winrate_diff
20230001,6002,3001,0.5,0.5,0.5,0.5,0.0,0.0
20230002,10001,7002,0.5,0.5,0.5,0.5,0.0,0.0
20230003,9002,2002,0.5,0.5,0.5,0.5,0.0,0.0
20230004,12001,5002,0.5,0.5,0.5,0.5,0.0,0.0
20230005,1001,11001,0.5,0.5,0.5,0.5,0.0,0.0
20230006,6002,3001,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230007,10001,7002,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230008,9002,2002,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230009,12001,5002,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230010,1001,11001,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.16666666666666669
20230011,6002,11001,0.5,0.5,0.5,0.5,0.0,0.0
20230012,10001,5002,0.5,0.6428571428571429,0.5,0.5,0.0,0.1428571428571429
20230013,9002,3001,0.5,0.5,0.5,0.5,0.0,0.0
20230015,1001,7002,0.5,0.5,0.5,0.5,0.0,0.0
20230016,6002,11001,0.5833333333333334,0.5625,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.14583333333333331
20230017,10001,5002,0.4166666666666667,0.5625,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.02083333333333337
20230021,6002,11001,0.5,0.5,0.5,0.5,0.0,0.0
20230022,10001,5002,0.5,0.6111111111111112,0.5,0.5,0.0,0.11111111111111116
20230025,1001,7002,0.5833333333333334,0.5625,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.14583333333333331
20230026,5002,1001,0.5,0.5,0.5,0.5,0.0,0.0
20230027,7002,9002,0.5,0.5,0.5,0.5,0.0,0.0
20230028,2002,6002,0.5,0.5,0.5,0.5,0.0,0.0
20230029,3001,12001,0.5,0.5,0.5,0.5,0.0,0.0
20230030,11001,10001,0.5,0.5,0.5,0.5,0.0,0.0
20230031,5002,1001,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230032,7002,9002,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.16666666666666669
20230033,2002,6002,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.16666666666666669
20230034,3001,12001,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.16666666666666669
20230035,11001,10001,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.16666666666666669
20230036,5002,1001,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.28571428571428575
20230037,7002,9002,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.28571428571428575
20230038,2002,6002,0.5,0.5,0.5,0.5,0.0,0.0
20230039,3001,12001,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.28571428571428575
20230040,11001,10001,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.28571428571428575
20230041,6002,10001,0.5,0.55,0.5,0.5,0.0,0.050000000000000044
20230042,1001,9002,0.5,0.5,0.5,0.5,0.0,0.0
20230043,2002,7002,0.5,0.4375,0.5,0.5,0.0,-0.0625
20230044,3001,5002,0.5,0.4375,0.5,0.5,0.0,-0.0625
20230045,11001,12001,0.5,0.6875,0.5,0.5,0.0,0.1875
20230047,1001,9002,0.4166666666666667,0.45,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.13333333333333336
20230048,2002,7002,0.4166666666666667,0.3888888888888889,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.19444444444444448
20230049,3001,5002,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.08333333333333331
20230050,11001,12001,0.5833333333333334,0.7222222222222222,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.3055555555555555
20230051,6002,10001,0.5833333333333334,0.5909090909090909,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.17424242424242425
20230052,1001,9002,0.35714285714285715,0.4090909090909091,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.2337662337662338
20230053,2002,7002,0.5,0.45,0.5,0.5,0.0,-0.04999999999999999
20230054,3001,5002,0.5,0.45,0.5,0.5,0.0,-0.04999999999999999
20230055,11001,12001,0.6428571428571429,0.75,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.39285714285714285
20230056,5002,6002,0.5,0.6875,0.5,0.5416666666666666,0.0,0.14583333333333337
20230057,10001,2002,0.5,0.55,0.5,0.5,0.0,0.050000000000000044
20230058,9002,11001,0.5,0.5625,0.5,0.5,0.0,0.0625
20230059,12001,7002,0.5,0.5,0.5,0.5,0.0,0.0
20230060,1001,3001,0.5,0.4583333333333333,0.5,0.5,0.0,-0.041666666666666685
20230061,5002,6002,0.5833333333333334,0.7222222222222222,0.4166666666666667,0.5,0.16666666666666669,0.2222222222222222
20230062,10001,2002,0.5833333333333334,0.5909090909090909,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.17424242424242425
20230063,9002,11001,0.5833333333333334,0.6111111111111112,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.19444444444444448
20230064,12001,7002,0.4166666666666667,0.4375,0.4166666666666667,0.4166666666666667,0.0,0.020833333333333315
20230065,1001,3001,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.08333333333333331
20230066,5002,6002,0.6428571428571429,0.75,0.35714285714285715,0.4642857142857143,0.28571428571428575,0.2857142857142857
20230067,10001,2002,0.6428571428571429,0.625,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.26785714285714285
20230068,9002,11001,0.5,0.55,0.5,0.5,0.0,0.050000000000000044
20230069,12001,7002,0.35714285714285715,0.3888888888888889,0.5,0.5,-0.14285714285714285,-0.1111111111111111
20230070,1001,3001,0.5,0.4642857142857143,0.5,0.5,0.0,-0.0357142857142857
20230071,5002,11001,0.5,0.6818181818181818,0.5,0.4375,0.0,0.24431818181818177
20230072,10001,1001,0.5,0.6538461538461539,0.5,0.5,0.0,0.15384615384615385
20230073,12001,9002,0.5,0.45,0.5,0.5,0.0,-0.04999999999999999
20230074,7002,6002,0.5,0.3125,0.5,0.5,0.0,-0.1875
20230075,3001,2002,0.5,0.5,0.5,0.5,0.0,0.0
20230076,5002,11001,0.4166666666666667,0.625,0.5833333333333334,0.5,-0.16666666666666669,0.125
20230077,10001,1001,0.4166666666666667,0.6071428571428571,0.5833333333333334,0.5833333333333334,-0.16666666666666669,0.023809523809523725
20230078,12001,9002,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.08333333333333331
20230079,7002,6002,0.4166666666666667,0.2777777777777778,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.3055555555555556
20230080,3001,2002,0.5833333333333334,0.5416666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.12499999999999994
20230081,5002,11001,0.5,0.6538461538461539,0.5,0.45,0.0,0.20384615384615384
20230082,10001,1001,0.35714285714285715,0.5666666666666667,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.07619047619047625
20230083,12001,9002,0.6428571428571429,0.5416666666666666,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.18452380952380948
20230084,7002,6002,0.5,0.35,0.5,0.5,0.0,-0.15000000000000002
20230085,3001,2002,0.5,0.5,0.5,0.5,0.0,0.0
20230086,6002,12001,0.5,0.5,0.5,0.5,0.0,0.0
20230087,9002,10001,0.5,0.5,0.5,0.5,0.0,0.0
20230088,7002,5002,0.5,0.3181818181818182,0.5,0.5,0.0,-0.18181818181818182
20230089,2002,1001,0.5,0.4090909090909091,0.5,0.5,0.0,-0.09090909090909088
20230090,11001,3001,0.5,0.6818181818181818,0.5,0.5,0.0,0.18181818181818177
20230091,6002,12001,0.5833333333333334,0.53125,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.11458333333333331
20230092,9002,10001,0.5833333333333334,0.5416666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.12499999999999994
20230093,7002,5002,0.4166666666666667,0.2916666666666667,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.2916666666666667
20230094,2002,1001,0.5833333333333334,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.04166666666666663
20230095,11001,3001,0.4166666666666667,0.625,0.5833333333333334,0.5833333333333334,-0.16666666666666669,0.04166666666666663
20230096,6002,12001,0.6428571428571429,0.5588235294117647,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.20168067226890757
20230097,9002,10001,0.6428571428571429,0.5769230769230769,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.21978021978021972
20230098,7002,5002,0.35714285714285715,0.2692307692307692,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.3736263736263737
20230099,2002,1001,0.6428571428571429,0.5,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.14285714285714285
20230100,11001,3001,0.35714285714285715,0.5769230769230769,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.06593406593406603
20230101,5002,9002,0.5,0.6785714285714286,0.5,0.5,0.0,0.1785714285714286
20230102,10001,12001,0.5,0.59375,0.5,0.5,0.0,0.09375
20230104,2002,11001,0.5,0.5357142857142857,0.5,0.5,0.0,0.0357142857142857
20230106,5002,9002,0.5833333333333334,0.7,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.28333333333333327
20230107,10001,12001,0.5833333333333334,0.6176470588235294,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.20098039215686275
20230108,1001,6002,0.5,0.5,0.5,0.5,0.0,0.0
20230109,2002,11001,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.08333333333333337
20230110,3001,7002,0.5,0.5357142857142857,0.5,0.5,0.0,0.0357142857142857
20230111,5002,9002,0.5,0.65625,0.5,0.5,0.0,0.15625
20230112,10001,12001,0.6428571428571429,0.6388888888888888,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.2817460317460317
20230113,1001,6002,0.5833333333333334,0.53125,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.11458333333333331
20230114,2002,11001,0.5,0.53125,0.5,0.5,0.0,0.03125
20230115,3001,7002,0.5833333333333334,0.5666666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.14999999999999997
20230116,5002,2002,0.5,0.6764705882352942,0.5,0.5,0.0,0.17647058823529416
20230117,9002,6002,0.5,0.6071428571428571,0.5,0.5,0.0,0.1071428571428571
20230118,12001,1001,0.5,0.5,0.5,0.5,0.0,0.0
20230119,7002,11001,0.5,0.32142857142857145,0.5,0.5,0.0,-0.17857142857142855
20230120,3001,10001,0.5,0.59375,0.5,0.5,0.0,0.09375
20230121,5002,2002,0.4166666666666667,0.6388888888888888,0.5833333333333334,0.5833333333333334,-0.16666666666666669,0.05555555555555547
20230122,9002,6002,0.5833333333333334,0.6333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.21666666666666662
20230123,12001,1001,0.4166666666666667,0.4642857142857143,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.11904761904761907
20230124,7002,11001,0.4166666666666667,0.3,0.5833333333333334,0.5833333333333334,-0.16666666666666669,-0.2833333333333334
20230126,5002,2002,0.35714285714285715,0.6052631578947368,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.03759398496240607
20230127,9002,6002,0.6428571428571429,0.65625,0.35714285714285715,0.35714285714285715,0.28571428571428575,0.29910714285714285
20230128,12001,1001,0.35714285714285715,0.43333333333333335,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.20952380952380956
20230129,7002,11001,0.35714285714285715,0.28125,0.6428571428571429,0.6428571428571429,-0.28571428571428575,-0.3616071428571429
20230130,3001,10001,0.5833333333333334,0.6176470588235294,0.4166666666666667,0.4166666666666667,0.16666666666666669,0.20098039215686275
20230131,6002,7002,0.5625,0.5277777777777778,0.4375,0.5,0.125,0.02777777777777779
20230132,9002,12001,0.4375,0.6176470588235294,0.5625,0.5,-0.125,0.11764705882352944
20230133,1001,10001,0.5625,0.5588235294117647,0.4375,0.5,0.125,0.05882352941176472
20230134,2002,3001,0.4375,0.5588235294117647,0.5625,0.5,-0.125,0.05882352941176472
20230135,11001,5002,0.4375,0.5357142857142857,0.5625,0.5,-0.125,0.0357142857142857
20230136,6002,7002,0.6111111111111112,0.5526315789473685,0.3888888888888889,0.4166666666666667,0.22222222222222227,0.1359649122807018
20230137,9002,12001,0.3888888888888889,0.5833333333333334,0.6111111111111112,0.5833333333333334,-0.22222222222222227,0.0
20230138,1001,10001,0.5,0.5277777777777778,0.5,0.5833333333333334,0.0,-0.05555555555555558
20230139,2002,3001,0.3888888888888889,0.5277777777777778,0.6111111111111112,0.5833333333333334,-0.22222222222222227,-0.05555555555555558
20230140,11001,5002,0.3888888888888889,0.5,0.6111111111111112,0.5833333333333334,-0.22222222222222227,-0.08333333333333337
20230141,6002,7002,0.55,0.525,0.45,0.5,0.10000000000000003,0.025000000000000022
20230142,9002,12001,0.45,0.6052631578947368,0.55,0.5,-0.10000000000000003,0.10526315789473684
20230143,1001,10001,0.45,0.5,0.55,0.6428571428571429,-0.10000000000000003,-0.1428571428571429
20230147,10001,9002,0.3125,0.6578947368421053,0.6875,0.5,-0.375,0.1578947368421053
20230152,10001,9002,0.2777777777777778,0.625,0.7222222222222222,0.5833333333333334,-0.4444444444444444,0.04166666666666663
20230156,6002,5002,0.4375,0.5,0.5625,0.575,-0.125,-0.07499999999999996
20230157,10001,9002,0.25,0.5952380952380952,0.75,0.6428571428571429,-0.5,-0.04761904761904767
20230158,7002,12001,0.4375,0.2647058823529412,0.4375,0.5,0.0,-0.23529411764705882
20230161,5002,10001,0.5625,0.5952380952380952,0.4375,0.5,0.125,0.09523809523809523
20230162,12001,11001,0.4375,0.40625,0.5625,0.5,-0.125,-0.09375
20230163,7002,1001,0.5,0.3055555555555556,0.5,0.5,0.0,-0.19444444444444442
20230164,2002,9002,0.5,0.5526315789473685,0.5,0.5,0.0,0.052631578947368474
20230165,3001,6002,0.5,0.6388888888888888,0.5,0.5,0.0,0.13888888888888884
20230166,5002,10001,0.6111111111111112,0.6136363636363636,0.3888888888888889,0.4375,0.22222222222222227,0.17613636363636365
20230167,12001,11001,0.3888888888888889,0.38235294117647056,0.6111111111111112,0.5833333333333334,-0.22222222222222227,-0.2009803921568628
20230168,7002,1001,0.4375,0.2894736842105263,0.5625,0.5833333333333334,-0.125,-0.29385964912280704
20230169,2002,9002,0.5625,0.575,0.4375,0.4166666666666667,0.125,0.15833333333333327
20230170,3001,6002,0.4375,0.6052631578947368,0.5625,0.5833333333333334,-0.125,0.021929824561403466
20230171,5002,10001,0.55,0.5869565217391305,0.45,0.5,0.10000000000000003,0.08695652173913049
20230172,12001,11001,0.35,0.3611111111111111,0.65,0.6428571428571429,-0.30000000000000004,-0.2817460317460318
20230173,7002,1001,0.5,0.325,0.5,0.5,0.0,-0.175
20230174,2002,9002,0.5,0.5476190476190477,0.5,0.5,0.0,0.04761904761904767
20230175,3001,6002,0.5,0.625,0.5,0.5,0.0,0.125
20230176,6002,2002,0.5625,0.4772727272727273,0.4375,0.6875,0.125,-0.2102272727272727
20230177,10001,11001,0.3125,0.5681818181818182,0.6875,0.5,-0.375,0.06818181818181823
20230178,9002,7002,0.6875,0.625,0.3125,0.5,0.375,0.125
20230179,12001,3001,0.5625,0.34210526315789475,0.4375,0.5,0.125,-0.15789473684210525
20230180,1001,5002,0.3125,0.525,0.6875,0.5,-0.375,0.025000000000000022
20230181,6002,2002,0.6111111111111112,0.5,0.3888888888888889,0.6111111111111112,0.22222222222222227,-0.11111111111111116
20230182,10001,11001,0.3888888888888889,0.5869565217391305,0.6111111111111112,0.4166666666666667,-0.22222222222222227,0.1702898550724638
20230183,9002,7002,0.6111111111111112,0.5952380952380952,0.3888888888888889,0.5833333333333334,0.22222222222222227,0.011904761904761862
20230184,12001,3001,0.6111111111111112,0.375,0.3888888888888889,0.4166666666666667,0.22222222222222227,-0.041666666666666685
20230185,1001,5002,0.3888888888888889,0.5476190476190477,0.6111111111111112,0.4166666666666667,-0.22222222222222227,0.130952380952381
20230186,6002,2002,0.65,0.5208333333333334,0.35,0.55,0.30000000000000004,-0.029166666666666674
20230187,10001,11001,0.45,0.6041666666666666,0.55,0.35714285714285715,-0.10000000000000003,0.24702380952380948
20230188,9002,7002,0.65,0.6136363636363636,0.35,0.5,0.30000000000000004,0.11363636363636365
20230189,12001,3001,0.55,0.35714285714285715,0.45,0.5,0.10000000000000003,-0.14285714285714285
20230190,1001,5002,0.35,0.5227272727272727,0.65,0.5,-0.30000000000000004,0.022727272727272707
20230191,5002,12001,0.5,0.6041666666666666,0.5,0.3125,0.0,0.29166666666666663
20230192,10001,6002,0.5,0.58,0.5,0.5,0.0,0.07999999999999996
20230193,7002,3001,0.35714285714285715,0.35714285714285715,0.6428571428571429,0.5,-0.28571428571428575,-0.14285714285714285
20230194,1001,2002,0.3125,0.5,0.6875,0.5,-0.375,0.0
20230195,11001,9002,0.5625,0.46875,0.4375,0.5,0.125,-0.03125
20230196,5002,12001,0.4375,0.58,0.5625,0.3888888888888889,-0.125,0.19111111111111106
20230197,10001,6002,0.4375,0.5576923076923077,0.5625,0.5833333333333334,-0.125,-0.02564102564102566
20230198,7002,3001,0.3125,0.3409090909090909,0.6875,0.5833333333333334,-0.375,-0.2424242424242425
20230199,1001,2002,0.2777777777777778,0.4791666666666667,0.7222222222222222,0.5833333333333334,-0.4444444444444444,-0.10416666666666669
20230200,11001,9002,0.6111111111111112,0.5,0.3888888888888889,0.4166666666666667,0.22222222222222227,0.08333333333333331
20230201,5002,12001,0.5,0.5961538461538461,0.5,0.35,0.0,0.24615384615384617
20230202,10001,6002,0.3888888888888889,0.5370370370370371,0.6111111111111112,0.6428571428571429,-0.22222222222222227,-0.10582010582010581
20230203,7002,3001,0.3888888888888889,0.3695652173913043,0.6111111111111112,0.5,-0.22222222222222227,-0.13043478260869568
20230206,5002,7002,0.5625,0.6111111111111112,0.4375,0.5625,0.125,0.04861111111111116
20230207,12001,6002,0.3125,0.3409090909090909,0.5625,0.5,-0.25,-0.15909090909090912
20230208,2002,10001,0.3125,0.5227272727272727,0.6875,0.5,-0.375,0.022727272727272707
20230209,3001,9002,0.4166666666666667,0.6428571428571429,0.5833333333333334,0.5,-0.16666666666666669,0.1428571428571429
