player_id,player_name,team_code,pj_date
10469,박경수,12001,2023-04-01
11353,구창모,11001,2023-04-01
11137,박민우,11001,2023-04-01
11222,하영민,10001,2023-04-01
10174,김재호,6002,2023-04-01
10643,김재환,6002,2023-04-01
10184,허경민,6002,2023-04-01
10892,구자욱,1001,2023-04-01
11410,김민우,7002,2023-04-01
11411,김범수,7002,2023-04-01
10008,김선빈,2002,2023-04-01
10475,오지환,5002,2023-04-01
10935,이천웅,5002,2023-04-01
11098,김인태,6002,2023-04-01
10266,전준우,3001,2023-04-01
10253,정훈,3001,2023-04-01
10235,장성우,12001,2023-04-01
11246,박대온,11001,2023-04-01
11310,박세웅,3001,2023-04-01
11489,김재윤,12001,2023-04-01
10075,진해수,5002,2023-04-01
10825,김원중,3001,2023-04-01
10156,정우람,7002,2023-04-01
10322,박석민,11001,2023-04-01
11119,한승택,2002,2023-04-01
10652,임찬규,5002,2023-04-01
12530,최충연,1001,2023-04-01
12572,박세진,12001,2023-04-01
10685,김대우,1001,2023-04-01
10909,임기영,2002,2023-04-01
10180,이원석,1001,2023-04-01
10344,최형우,2002,2023-04-01
10523,우규민,1001,2023-04-01
12850,박치국,6002,2023-04-01
12852,최원준,6002,2023-04-01
12858,김재웅,10001,2023-04-01
12905,김혜성,10001,2023-04-01
12906,이정후,10001,2023-04-01
12930,나균안,3001,2023-04-01
10527,이승현,1001,2023-04-01
11492,신성현,6002,2023-04-01
10170,최재훈,7002,2023-04-01
11394,배제성,12001,2023-04-01
13009,백승현,5002,2023-04-01
10407,황재균,12001,2023-04-01
10232,강민호,1001,2023-04-01
13056,신민재,5002,2023-04-01
10187,김현수,5002,2023-04-01
13061,곽빈,6002,2023-04-01
11291,구승민,3001,2023-04-01
10437,문성현,10001,2023-04-01
13071,정철원,6002,2023-04-01
13080,김시훈,11001,2023-04-01
13088,김영규,11001,2023-04-01
13091,안우진,10001,2023-04-01
13109,송찬의,5002,2023-04-01
13137,정은원,7002,2023-04-01
13145,한동희,3001,2023-04-01
13148,김도규,3001,2023-04-01
13151,이호연,3001,2023-04-01
13154,정보근,3001,2023-04-01
13168,강백호,12001,2023-04-01
11342,송민섭,12001,2023-04-01
10871,김태훈,10001,2023-04-01
11097,장승현,6002,2023-04-01
13242,홍정우,1001,2023-04-01
11233,이창진,2002,2023-04-01
10195,정수빈,6002,2023-04-01
12546,홍창기,5002,2023-04-01
12537,전상현,2002,2023-04-01
12943,조용호,12001,2023-04-01
11159,이형범,6002,2023-04-01
12548,김동엽,1001,2023-04-01
10312,이지영,10001,2023-04-01
13934,켈리,5002,2023-04-01
13940,요키시,10001,2023-04-01
14113,원태인,1001,2023-04-01
14121,이해승,1001,2023-04-01
14125,노시환,7002,2023-04-01
14126,유로결,7002,2023-04-01
14134,이정용,5002,2023-04-01
14136,정우영,5002,2023-04-01
14137,문보경,5002,2023-04-01
14155,송명기,11001,2023-04-01
14160,고승민,3001,2023-04-01
14169,신윤후,3001,2023-04-01
10238,김민성,5002,2023-04-01
11261,박찬호,2002,2023-04-01
11339,김민혁,12001,2023-04-01
11303,이준영,2002,2023-04-01
11306,황대인,2002,2023-04-01
11225,임지열,10001,2023-04-01
11099,이우성,2002,2023-04-01
10367,오승환,1001,2023-04-01
12562,이성규,1001,2023-04-01
11298,김호령,2002,2023-04-01
11168,임정호,11001,2023-04-01
10453,장시환,7002,2023-04-01
11413,지시완,3001,2023-04-01
12540,김규성,2002,2023-04-01
12587,박상언,7002,2023-04-01
12897,김진호,11001,2023-04-01
14588,김윤식,5002,2023-04-01
14600,소형준,12001,2023-04-01
14603,강현우,12001,2023-04-01
14608,정해영,2002,2023-04-01
14613,허윤동,1001,2023-04-01
14617,뷰캐넌,1001,2023-04-01
14618,김지찬,1001,2023-04-01
14621,한승주,7002,2023-04-01
11422,전병우,10001,2023-04-01
10014,안치홍,3001,2023-04-01
14642,황성빈,3001,2023-04-01
14669,유영찬,5002,2023-04-01
14674,김동혁,10001,2023-04-01
11415,주현상,7002,2023-04-01
14704,박정현,7002,2023-04-01
14708,강재민,7002,2023-04-01
11355,류진욱,11001,2023-04-01
12678,이승진,6002,2023-04-01
10894,류지혁,2002,2023-04-01
10696,홍건희,6002,2023-04-01
11268,노수광,7002,2023-04-01
12847,김명신,6002,2023-04-01
12524,조수행,6002,2023-04-01
12941,홍현빈,12001,2023-04-01
12560,도태훈,11001,2023-04-01
11255,강한울,1001,2023-04-01
12936,김성윤,1001,2023-04-01
10870,김재현,10001,2023-04-01
11135,윤형준,11001,2023-04-01
10400,오재일,1001,2023-04-01
11087,강승호,6002,2023-04-01
